Date,MSFT,AAPL
2019-02-26,112.44128726513573,43.551977117117104
2019-02-27,111.95226535433075,43.54834280639429
2019-02-28,112.25918398357287,43.50420000000001
2019-03-01,112.4285019083969,43.56423953488376
2019-03-04,112.0356319838057,43.94138217993077
2019-03-05,111.71770831600837,43.86109505703425
2019-03-06,111.85178893442628,43.699745259391776
2019-03-07,110.70808616352195,43.339117328519805
2019-03-08,109.73621028037384,42.93592714508582
2019-03-11,112.33753300970875,44.474806373937675
2019-03-12,113.53106880165299,45.19545654205612
2019-03-13,114.51505502958587,45.50649263999998
2019-03-14,114.78514505928857,45.898040234948574
2019-03-15,116.38202191780823,46.47173622291018
2019-03-18,116.90777969052223,46.86607537190088
2019-03-19,117.68500738636348,46.89227332268368
2019-03-20,117.52861789473683,46.81012722602744
